Key,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,Month,ReportType,NSize
158-2013-14-All Students-Withdrawal-External,158,2013-14,All Students,Withdrawal,0.050000001,0.079999998,February,External,288
158-2013-14-All Students-Net Cumulative-External,158,2013-14,All Students,Net Cumulative,0,-0.029999999,February,External,288
158-2013-14-All Students-Entry-External,158,2013-14,All Students,Entry,0.039999999,0.039999999,January,External,288
158-2013-14-All Students-Withdrawal-External,158,2013-14,All Students,Withdrawal,0.050000001,0.07,January,External,288
158-2013-14-All Students-Net Cumulative-External,158,2013-14,All Students,Net Cumulative,-0.01,-0.029999999,January,External,288
158-2013-14-All Students-Entry-External,158,2013-14,All Students,Entry,0.059999999,0.050000001,March,External,288
158-2013-14-All Students-Withdrawal-External,158,2013-14,All Students,Withdrawal,0.059999999,0.090000004,March,External,288
158-2013-14-All Students-Net Cumulative-External,158,2013-14,All Students,Net Cumulative,0,-0.029999999,March,External,288
158-2013-14-All Students-Entry-External,158,2013-14,All Students,Entry,0.059999999,0.07,May,External,288
158-2013-14-All Students-Withdrawal-External,158,2013-14,All Students,Withdrawal,0.079999998,0.100000001,May,External,288
158-2013-14-All Students-Net Cumulative-External,158,2013-14,All Students,Net Cumulative,-0.02,-0.029999999,May,External,288
158-2013-14-All Students-Entry-External,158,2013-14,All Students,Entry,0.02,0.029999999,November,External,288
158-2013-14-All Students-Withdrawal-External,158,2013-14,All Students,Withdrawal,0.029999999,0.050000001,November,External,288
158-2013-14-All Students-Net Cumulative-External,158,2013-14,All Students,Net Cumulative,-0.01,-0.029999999,November,External,288
158-2013-14-All Students-Entry-External,158,2013-14,All Students,Entry,0.01,0.02,October,External,288
158-2013-14-All Students-Withdrawal-External,158,2013-14,All Students,Withdrawal,0.029999999,0.050000001,October,External,288
158-2013-14-All Students-Net Cumulative-External,158,2013-14,All Students,Net Cumulative,-0.02,-0.029999999,October,External,288
159-2013-14-All Students-Entry-External,159,2013-14,All Students,Entry,0,0.059999999,April,External,348
159-2013-14-All Students-Withdrawal-External,159,2013-14,All Students,Withdrawal,0.029999999,0.090000004,April,External,348
159-2013-14-All Students-Net Cumulative-External,159,2013-14,All Students,Net Cumulative,-0.029999999,-0.02,April,External,348
159-2013-14-All Students-Entry-External,159,2013-14,All Students,Entry,0,0.039999999,December,External,348
159-2013-14-All Students-Withdrawal-External,159,2013-14,All Students,Withdrawal,0.02,0.059999999,December,External,348
159-2013-14-All Students-Net Cumulative-External,159,2013-14,All Students,Net Cumulative,-0.02,-0.02,December,External,348
159-2013-14-All Students-Entry-External,159,2013-14,All Students,Entry,0,0.050000001,February,External,348
159-2013-14-All Students-Withdrawal-External,159,2013-14,All Students,Withdrawal,0.02,0.07,February,External,348
159-2013-14-All Students-Net Cumulative-External,159,2013-14,All Students,Net Cumulative,-0.02,-0.02,February,External,348
159-2013-14-All Students-Entry-External,159,2013-14,All Students,Entry,0,0.050000001,January,External,348
159-2013-14-All Students-Withdrawal-External,159,2013-14,All Students,Withdrawal,0.02,0.07,January,External,348
159-2013-14-All Students-Net Cumulative-External,159,2013-14,All Students,Net Cumulative,-0.02,-0.02,January,External,348
159-2013-14-All Students-Entry-External,159,2013-14,All Students,Entry,0,0.059999999,March,External,348
159-2013-14-All Students-Withdrawal-External,159,2013-14,All Students,Withdrawal,0.029999999,0.079999998,March,External,348
159-2013-14-All Students-Net Cumulative-External,159,2013-14,All Students,Net Cumulative,-0.02,-0.02,March,External,348
159-2013-14-All Students-Entry-External,159,2013-14,All Students,Entry,0,0.07,May,External,348
159-2013-14-All Students-Withdrawal-External,159,2013-14,All Students,Withdrawal,0.029999999,0.090000004,May,External,348
159-2013-14-All Students-Net Cumulative-External,159,2013-14,All Students,Net Cumulative,-0.029999999,-0.02,May,External,348
159-2013-14-All Students-Entry-External,159,2013-14,All Students,Entry,0,0.029999999,November,External,348
159-2013-14-All Students-Withdrawal-External,159,2013-14,All Students,Withdrawal,0.01,0.050000001,November,External,348
159-2013-14-All Students-Net Cumulative-External,159,2013-14,All Students,Net Cumulative,-0.01,-0.02,November,External,348
159-2013-14-All Students-Entry-External,159,2013-14,All Students,Entry,0,0.029999999,October,External,348
159-2013-14-All Students-Withdrawal-External,159,2013-14,All Students,Withdrawal,0.01,0.039999999,October,External,348
159-2013-14-All Students-Net Cumulative-External,159,2013-14,All Students,Net Cumulative,-0.01,-0.02,October,External,348
160-2013-14-All Students-Entry-External,160,2013-14,All Students,Entry,0.01,0.140000001,April,External,182
160-2013-14-All Students-Withdrawal-External,160,2013-14,All Students,Withdrawal,0.200000003,0.090000004,April,External,182
160-2013-14-All Students-Net Cumulative-External,160,2013-14,All Students,Net Cumulative,-0.200000003,0.039999999,April,External,182
160-2013-14-All Students-Entry-External,160,2013-14,All Students,Entry,0.01,0.079999998,December,External,182
160-2013-14-All Students-Withdrawal-External,160,2013-14,All Students,Withdrawal,0.090000004,0.029999999,December,External,182
160-2013-14-All Students-Net Cumulative-External,160,2013-14,All Students,Net Cumulative,-0.090000004,0.050000001,December,External,182
160-2013-14-All Students-Entry-External,160,2013-14,All Students,Entry,0.01,0.109999999,February,External,182
160-2013-14-All Students-Withdrawal-External,160,2013-14,All Students,Withdrawal,0.140000001,0.059999999,February,External,182
160-2013-14-All Students-Net Cumulative-External,160,2013-14,All Students,Net Cumulative,-0.140000001,0.050000001,February,External,182
160-2013-14-All Students-Entry-External,160,2013-14,All Students,Entry,0.01,0.100000001,January,External,182
160-2013-14-All Students-Withdrawal-External,160,2013-14,All Students,Withdrawal,0.129999995,0.050000001,January,External,182
160-2013-14-All Students-Net Cumulative-External,160,2013-14,All Students,Net Cumulative,-0.119999997,0.050000001,January,External,182
160-2013-14-All Students-Entry-External,160,2013-14,All Students,Entry,0.01,0.129999995,March,External,182
160-2013-14-All Students-Withdrawal-External,160,2013-14,All Students,Withdrawal,0.189999998,0.079999998,March,External,182
160-2013-14-All Students-Net Cumulative-External,160,2013-14,All Students,Net Cumulative,-0.180000007,0.050000001,March,External,182
160-2013-14-All Students-Entry-External,160,2013-14,All Students,Entry,0.01,0.140000001,May,External,182
160-2013-14-All Students-Withdrawal-External,160,2013-14,All Students,Withdrawal,0.230000004,0.109999999,May,External,182
160-2013-14-All Students-Net Cumulative-External,160,2013-14,All Students,Net Cumulative,-0.230000004,0.039999999,May,External,182
160-2013-14-All Students-Entry-External,160,2013-14,All Students,Entry,0.01,0.07,November,External,182
160-2013-14-All Students-Withdrawal-External,160,2013-14,All Students,Withdrawal,0.039999999,0.02,November,External,182
160-2013-14-All Students-Net Cumulative-External,160,2013-14,All Students,Net Cumulative,-0.039999999,0.050000001,November,External,182
160-2013-14-All Students-Entry-External,160,2013-14,All Students,Entry,0.01,0.059999999,October,External,182
160-2013-14-All Students-Withdrawal-External,160,2013-14,All Students,Withdrawal,0.01,0.01,October,External,182
160-2013-14-All Students-Net Cumulative-External,160,2013-14,All Students,Net Cumulative,0,0.050000001,October,External,182
161-2013-14-All Students-Entry-External,161,2013-14,All Students,Entry,0.059999999,0.090000004,April,External,815
161-2013-14-All Students-Withdrawal-External,161,2013-14,All Students,Withdrawal,0.079999998,0.090000004,April,External,815
161-2013-14-All Students-Net Cumulative-External,161,2013-14,All Students,Net Cumulative,-0.02,0,April,External,815
161-2013-14-All Students-Entry-External,161,2013-14,All Students,Entry,0.050000001,0.050000001,December,External,815
161-2013-14-All Students-Withdrawal-External,161,2013-14,All Students,Withdrawal,0.039999999,0.050000001,December,External,815
161-2013-14-All Students-Net Cumulative-External,161,2013-14,All Students,Net Cumulative,0.02,0,December,External,815
161-2013-14-All Students-Entry-External,161,2013-14,All Students,Entry,0.059999999,0.07,February,External,815
161-2013-14-All Students-Withdrawal-External,161,2013-14,All Students,Withdrawal,0.059999999,0.07,February,External,815
161-2013-14-All Students-Net Cumulative-External,161,2013-14,All Students,Net Cumulative,-0.01,0,February,External,815
161-2013-14-All Students-Entry-External,161,2013-14,All Students,Entry,0.050000001,0.059999999,January,External,815
161-2013-14-All Students-Withdrawal-External,161,2013-14,All Students,Withdrawal,0.059999999,0.059999999,January,External,815
161-2013-14-All Students-Net Cumulative-External,161,2013-14,All Students,Net Cumulative,0,0,January,External,815
161-2013-14-All Students-Entry-External,161,2013-14,All Students,Entry,0.059999999,0.079999998,March,External,815
161-2013-14-All Students-Withdrawal-External,161,2013-14,All Students,Withdrawal,0.059999999,0.079999998,March,External,815
161-2013-14-All Students-Net Cumulative-External,161,2013-14,All Students,Net Cumulative,-0.01,0,March,External,815
161-2013-14-All Students-Entry-External,161,2013-14,All Students,Entry,0.059999999,0.090000004,May,External,815
161-2013-14-All Students-Withdrawal-External,161,2013-14,All Students,Withdrawal,0.090000004,0.100000001,May,External,815
161-2013-14-All Students-Net Cumulative-External,161,2013-14,All Students,Net Cumulative,-0.039999999,-0.01,May,External,815
161-2013-14-All Students-Entry-External,161,2013-14,All Students,Entry,0.050000001,0.050000001,November,External,815
161-2013-14-All Students-Withdrawal-External,161,2013-14,All Students,Withdrawal,0.029999999,0.050000001,November,External,815
161-2013-14-All Students-Net Cumulative-External,161,2013-14,All Students,Net Cumulative,0.02,0,November,External,815
161-2013-14-All Students-Entry-External,161,2013-14,All Students,Entry,0.050000001,0.039999999,October,External,815
161-2013-14-All Students-Withdrawal-External,161,2013-14,All Students,Withdrawal,0.02,0.039999999,October,External,815
161-2013-14-All Students-Net Cumulative-External,161,2013-14,All Students,Net Cumulative,0.02,0,October,External,815
163-2013-14-All Students-Entry-External,163,2013-14,All Students,Entry,0.059999999,0.140000001,April,External,199
163-2013-14-All Students-Withdrawal-External,163,2013-14,All Students,Withdrawal,0.159999996,0.090000004,April,External,199
163-2013-14-All Students-Net Cumulative-External,163,2013-14,All Students,Net Cumulative,-0.100000001,0.039999999,April,External,199
163-2013-14-All Students-Entry-External,163,2013-14,All Students,Entry,0.039999999,0.079999998,December,External,199
163-2013-14-All Students-Withdrawal-External,163,2013-14,All Students,Withdrawal,0.090000004,0.029999999,December,External,199
163-2013-14-All Students-Net Cumulative-External,163,2013-14,All Students,Net Cumulative,-0.050000001,0.050000001,December,External,199
163-2013-14-All Students-Entry-External,163,2013-14,All Students,Entry,0.059999999,0.109999999,February,External,199
163-2013-14-All Students-Withdrawal-External,163,2013-14,All Students,Withdrawal,0.119999997,0.059999999,February,External,199
163-2013-14-All Students-Net Cumulative-External,163,2013-14,All Students,Net Cumulative,-0.059999999,0.050000001,February,External,199
163-2013-14-All Students-Entry-External,163,2013-14,All Students,Entry,0.050000001,0.100000001,January,External,199
163-2013-14-All Students-Withdrawal-External,163,2013-14,All Students,Withdrawal,0.119999997,0.050000001,January,External,199
163-2013-14-All Students-Net Cumulative-External,163,2013-14,All Students,Net Cumulative,-0.079999998,0.050000001,January,External,199
163-2013-14-All Students-Entry-External,163,2013-14,All Students,Entry,0.059999999,0.129999995,March,External,199
163-2013-14-All Students-Withdrawal-External,163,2013-14,All Students,Withdrawal,0.150000006,0.079999998,March,External,199
163-2013-14-All Students-Net Cumulative-External,163,2013-14,All Students,Net Cumulative,-0.090000004,0.050000001,March,External,199
163-2013-14-All Students-Entry-External,163,2013-14,All Students,Entry,0.059999999,0.140000001,May,External,199
163-2013-14-All Students-Withdrawal-External,163,2013-14,All Students,Withdrawal,0.379999995,0.109999999,May,External,199
163-2013-14-All Students-Net Cumulative-External,163,2013-14,All Students,Net Cumulative,-0.319999993,0.039999999,May,External,199
163-2013-14-All Students-Entry-External,163,2013-14,All Students,Entry,0.029999999,0.07,November,External,199
163-2013-14-All Students-Withdrawal-External,163,2013-14,All Students,Withdrawal,0.059999999,0.02,November,External,199
163-2013-14-All Students-Net Cumulative-External,163,2013-14,All Students,Net Cumulative,-0.039999999,0.050000001,November,External,199
163-2013-14-All Students-Entry-External,163,2013-14,All Students,Entry,0.02,0.059999999,October,External,199
163-2013-14-All Students-Withdrawal-External,163,2013-14,All Students,Withdrawal,0.039999999,0.01,October,External,199
163-2013-14-All Students-Net Cumulative-External,163,2013-14,All Students,Net Cumulative,-0.029999999,0.050000001,October,External,199
165-2013-14-All Students-Entry-External,165,2013-14,All Students,Entry,0.02,0.07,April,External,588
165-2013-14-All Students-Withdrawal-External,165,2013-14,All Students,Withdrawal,0.039999999,0.090000004,April,External,588
165-2013-14-All Students-Net Cumulative-External,165,2013-14,All Students,Net Cumulative,-0.02,-0.02,April,External,588
165-2013-14-All Students-Entry-External,165,2013-14,All Students,Entry,0.01,0.050000001,December,External,588
165-2013-14-All Students-Withdrawal-External,165,2013-14,All Students,Withdrawal,0.02,0.059999999,December,External,588
165-2013-14-All Students-Net Cumulative-External,165,2013-14,All Students,Net Cumulative,-0.01,-0.02,December,External,588
165-2013-14-All Students-Entry-External,165,2013-14,All Students,Entry,0.02,0.059999999,February,External,588
165-2013-14-All Students-Withdrawal-External,165,2013-14,All Students,Withdrawal,0.029999999,0.079999998,February,External,588
165-2013-14-All Students-Net Cumulative-External,165,2013-14,All Students,Net Cumulative,-0.01,-0.02,February,External,588
165-2013-14-All Students-Entry-External,165,2013-14,All Students,Entry,0.01,0.050000001,January,External,588
165-2013-14-All Students-Withdrawal-External,165,2013-14,All Students,Withdrawal,0.029999999,0.07,January,External,588
165-2013-14-All Students-Net Cumulative-External,165,2013-14,All Students,Net Cumulative,-0.01,-0.01,January,External,588
165-2013-14-All Students-Entry-External,165,2013-14,All Students,Entry,0.02,0.07,March,External,588
165-2013-14-All Students-Withdrawal-External,165,2013-14,All Students,Withdrawal,0.029999999,0.079999998,March,External,588
165-2013-14-All Students-Net Cumulative-External,165,2013-14,All Students,Net Cumulative,-0.01,-0.02,March,External,588
165-2013-14-All Students-Entry-External,165,2013-14,All Students,Entry,0.02,0.079999998,May,External,588
165-2013-14-All Students-Withdrawal-External,165,2013-14,All Students,Withdrawal,0.059999999,0.100000001,May,External,588
165-2013-14-All Students-Net Cumulative-External,165,2013-14,All Students,Net Cumulative,-0.039999999,-0.02,May,External,588
165-2013-14-All Students-Entry-External,165,2013-14,All Students,Entry,0.01,0.039999999,November,External,588
165-2013-14-All Students-Withdrawal-External,165,2013-14,All Students,Withdrawal,0.02,0.050000001,November,External,588
165-2013-14-All Students-Net Cumulative-External,165,2013-14,All Students,Net Cumulative,-0.01,-0.01,November,External,588
165-2013-14-All Students-Entry-External,165,2013-14,All Students,Entry,0.01,0.029999999,October,External,588
165-2013-14-All Students-Withdrawal-External,165,2013-14,All Students,Withdrawal,0.01,0.050000001,October,External,588
165-2013-14-All Students-Net Cumulative-External,165,2013-14,All Students,Net Cumulative,0,-0.01,October,External,588
168-2013-14-All Students-Entry-External,168,2013-14,All Students,Entry,0.230000004,0.200000003,April,External,316
168-2013-14-All Students-Withdrawal-External,168,2013-14,All Students,Withdrawal,0.730000019,0.209999993,April,External,316
168-2013-14-All Students-Net Cumulative-External,168,2013-14,All Students,Net Cumulative,-0.5,-0.01,April,External,316
168-2013-14-All Students-Entry-External,168,2013-14,All Students,Entry,0,0.090000004,December,External,316
168-2013-14-All Students-Withdrawal-External,168,2013-14,All Students,Withdrawal,0.529999971,0.090000004,December,External,316
168-2013-14-All Students-Net Cumulative-External,168,2013-14,All Students,Net Cumulative,-0.529999971,0.01,December,External,316
168-2013-14-All Students-Entry-External,168,2013-14,All Students,Entry,0.209999993,0.159999996,February,External,316
168-2013-14-All Students-Withdrawal-External,168,2013-14,All Students,Withdrawal,0.620000005,0.140000001,February,External,316
168-2013-14-All Students-Net Cumulative-External,168,2013-14,All Students,Net Cumulative,-0.409999996,0.02,February,External,316
168-2013-14-All Students-Entry-External,168,2013-14,All Students,Entry,0,0.119999997,January,External,316
168-2013-14-All Students-Withdrawal-External,168,2013-14,All Students,Withdrawal,0.620000005,0.119999997,January,External,316
168-2013-14-All Students-Net Cumulative-External,168,2013-14,All Students,Net Cumulative,-0.610000014,0,January,External,316
168-2013-14-All Students-Entry-External,168,2013-14,All Students,Entry,0.219999999,0.180000007,March,External,316
168-2013-14-All Students-Withdrawal-External,168,2013-14,All Students,Withdrawal,0.680000007,0.180000007,March,External,316
168-2013-14-All Students-Net Cumulative-External,168,2013-14,All Students,Net Cumulative,-0.460000008,0,March,External,316
168-2013-14-All Students-Entry-External,168,2013-14,All Students,Entry,0.230000004,0.209999993,May,External,316
168-2013-14-All Students-Withdrawal-External,168,2013-14,All Students,Withdrawal,0.769999981,0.230000004,May,External,316
168-2013-14-All Students-Net Cumulative-External,168,2013-14,All Students,Net Cumulative,-0.540000021,-0.02,May,External,316
168-2013-14-All Students-Entry-External,168,2013-14,All Students,Entry,0,0.079999998,November,External,316
168-2013-14-All Students-Withdrawal-External,168,2013-14,All Students,Withdrawal,0.5,0.059999999,November,External,316
168-2013-14-All Students-Net Cumulative-External,168,2013-14,All Students,Net Cumulative,-0.5,0.02,November,External,316
168-2013-14-All Students-Entry-External,168,2013-14,All Students,Entry,0,0.07,October,External,316
168-2013-14-All Students-Withdrawal-External,168,2013-14,All Students,Withdrawal,0.479999989,0.039999999,October,External,316
168-2013-14-All Students-Net Cumulative-External,168,2013-14,All Students,Net Cumulative,-0.479999989,0.029999999,October,External,316
169-2013-14-All Students-Entry-External,169,2013-14,All Students,Entry,0.050000001,0.129999995,April,External,376
169-2013-14-All Students-Withdrawal-External,169,2013-14,All Students,Withdrawal,0.129999995,0.100000001,April,External,376
169-2013-14-All Students-Net Cumulative-External,169,2013-14,All Students,Net Cumulative,-0.079999998,0.029999999,April,External,376
169-2013-14-All Students-Entry-External,169,2013-14,All Students,Entry,0.039999999,0.079999998,December,External,376
169-2013-14-All Students-Withdrawal-External,169,2013-14,All Students,Withdrawal,0.050000001,0.050000001,December,External,376
169-2013-14-All Students-Net Cumulative-External,169,2013-14,All Students,Net Cumulative,0,0.039999999,December,External,376
169-2013-14-All Students-Entry-External,169,2013-14,All Students,Entry,0.050000001,0.109999999,February,External,376
169-2013-14-All Students-Withdrawal-External,169,2013-14,All Students,Withdrawal,0.079999998,0.07,February,External,376
169-2013-14-All Students-Net Cumulative-External,169,2013-14,All Students,Net Cumulative,-0.039999999,0.039999999,February,External,376
169-2013-14-All Students-Entry-External,169,2013-14,All Students,Entry,0.039999999,0.100000001,January,External,376
169-2013-14-All Students-Withdrawal-External,169,2013-14,All Students,Withdrawal,0.07,0.059999999,January,External,376
169-2013-14-All Students-Net Cumulative-External,169,2013-14,All Students,Net Cumulative,-0.029999999,0.029999999,January,External,376
169-2013-14-All Students-Entry-External,169,2013-14,All Students,Entry,0.050000001,0.119999997,March,External,376
169-2013-14-All Students-Withdrawal-External,169,2013-14,All Students,Withdrawal,0.109999999,0.079999998,March,External,376
169-2013-14-All Students-Net Cumulative-External,169,2013-14,All Students,Net Cumulative,-0.059999999,0.029999999,March,External,376
169-2013-14-All Students-Entry-External,169,2013-14,All Students,Entry,0.050000001,0.140000001,May,External,376
169-2013-14-All Students-Withdrawal-External,169,2013-14,All Students,Withdrawal,0.140000001,0.119999997,May,External,376
169-2013-14-All Students-Net Cumulative-External,169,2013-14,All Students,Net Cumulative,-0.090000004,0.02,May,External,376
169-2013-14-All Students-Entry-External,169,2013-14,All Students,Entry,0.039999999,0.079999998,November,External,376
169-2013-14-All Students-Withdrawal-External,169,2013-14,All Students,Withdrawal,0.029999999,0.039999999,November,External,376
169-2013-14-All Students-Net Cumulative-External,169,2013-14,All Students,Net Cumulative,0.01,0.039999999,November,External,376
169-2013-14-All Students-Entry-External,169,2013-14,All Students,Entry,0.029999999,0.07,October,External,376
169-2013-14-All Students-Withdrawal-External,169,2013-14,All Students,Withdrawal,0.02,0.029999999,October,External,376
169-2013-14-All Students-Net Cumulative-External,169,2013-14,All Students,Net Cumulative,0.01,0.039999999,October,External,376
170-2013-14-All Students-Entry-External,170,2013-14,All Students,Entry,0.029999999,0.119999997,April,External,416
170-2013-14-All Students-Withdrawal-External,170,2013-14,All Students,Withdrawal,0.100000001,0.109999999,April,External,416
170-2013-14-All Students-Net Cumulative-External,170,2013-14,All Students,Net Cumulative,-0.07,0.01,April,External,416
170-2013-14-All Students-Entry-External,170,2013-14,All Students,Entry,0.029999999,0.079999998,December,External,416
170-2013-14-All Students-Withdrawal-External,170,2013-14,All Students,Withdrawal,0.029999999,0.07,December,External,416
170-2013-14-All Students-Net Cumulative-External,170,2013-14,All Students,Net Cumulative,-0.01,0.02,December,External,416
170-2013-14-All Students-Entry-External,170,2013-14,All Students,Entry,0.029999999,0.100000001,February,External,416
170-2013-14-All Students-Withdrawal-External,170,2013-14,All Students,Withdrawal,0.059999999,0.079999998,February,External,416
170-2013-14-All Students-Net Cumulative-External,170,2013-14,All Students,Net Cumulative,-0.02,0.02,February,External,416
170-2013-14-All Students-Entry-External,170,2013-14,All Students,Entry,0.029999999,0.090000004,January,External,416
170-2013-14-All Students-Withdrawal-External,170,2013-14,All Students,Withdrawal,0.050000001,0.07,January,External,416
170-2013-14-All Students-Net Cumulative-External,170,2013-14,All Students,Net Cumulative,-0.02,0.02,January,External,416
170-2013-14-All Students-Entry-External,170,2013-14,All Students,Entry,0.029999999,0.109999999,March,External,416
170-2013-14-All Students-Withdrawal-External,170,2013-14,All Students,Withdrawal,0.059999999,0.090000004,March,External,416
170-2013-14-All Students-Net Cumulative-External,170,2013-14,All Students,Net Cumulative,-0.029999999,0.02,March,External,416
170-2013-14-All Students-Entry-External,170,2013-14,All Students,Entry,0.029999999,0.119999997,May,External,416
170-2013-14-All Students-Withdrawal-External,170,2013-14,All Students,Withdrawal,0.150000006,0.129999995,May,External,416
170-2013-14-All Students-Net Cumulative-External,170,2013-14,All Students,Net Cumulative,-0.119999997,0,May,External,416
170-2013-14-All Students-Entry-External,170,2013-14,All Students,Entry,0.02,0.079999998,November,External,416
170-2013-14-All Students-Withdrawal-External,170,2013-14,All Students,Withdrawal,0.029999999,0.059999999,November,External,416
170-2013-14-All Students-Net Cumulative-External,170,2013-14,All Students,Net Cumulative,-0.01,0.02,November,External,416
170-2013-14-All Students-Entry-External,170,2013-14,All Students,Entry,0.02,0.07,October,External,416
170-2013-14-All Students-Withdrawal-External,170,2013-14,All Students,Withdrawal,0.02,0.050000001,October,External,416
170-2013-14-All Students-Net Cumulative-External,170,2013-14,All Students,Net Cumulative,0,0.02,October,External,416
173-2013-14-All Students-Entry-External,173,2013-14,All Students,Entry,0,0.059999999,April,External,118
173-2013-14-All Students-Withdrawal-External,173,2013-14,All Students,Withdrawal,0.050000001,0.090000004,April,External,118
173-2013-14-All Students-Net Cumulative-External,173,2013-14,All Students,Net Cumulative,-0.050000001,-0.02,April,External,118
173-2013-14-All Students-Entry-External,173,2013-14,All Students,Entry,0,0.039999999,December,External,118
173-2013-14-All Students-Withdrawal-External,173,2013-14,All Students,Withdrawal,0.029999999,0.059999999,December,External,118
173-2013-14-All Students-Net Cumulative-External,173,2013-14,All Students,Net Cumulative,-0.029999999,-0.02,December,External,118
173-2013-14-All Students-Entry-External,173,2013-14,All Students,Entry,0,0.050000001,February,External,118
173-2013-14-All Students-Withdrawal-External,173,2013-14,All Students,Withdrawal,0.029999999,0.07,February,External,118
173-2013-14-All Students-Net Cumulative-External,173,2013-14,All Students,Net Cumulative,-0.029999999,-0.02,February,External,118
173-2013-14-All Students-Entry-External,173,2013-14,All Students,Entry,0,0.050000001,January,External,118
173-2013-14-All Students-Withdrawal-External,173,2013-14,All Students,Withdrawal,0.029999999,0.07,January,External,118
173-2013-14-All Students-Net Cumulative-External,173,2013-14,All Students,Net Cumulative,-0.029999999,-0.02,January,External,118
173-2013-14-All Students-Entry-External,173,2013-14,All Students,Entry,0,0.059999999,March,External,118
173-2013-14-All Students-Withdrawal-External,173,2013-14,All Students,Withdrawal,0.039999999,0.079999998,March,External,118
173-2013-14-All Students-Net Cumulative-External,173,2013-14,All Students,Net Cumulative,-0.039999999,-0.02,March,External,118
173-2013-14-All Students-Entry-External,173,2013-14,All Students,Entry,0,0.07,May,External,118
173-2013-14-All Students-Withdrawal-External,173,2013-14,All Students,Withdrawal,0.119999997,0.090000004,May,External,118
173-2013-14-All Students-Net Cumulative-External,173,2013-14,All Students,Net Cumulative,-0.119999997,-0.02,May,External,118
173-2013-14-All Students-Entry-External,173,2013-14,All Students,Entry,0,0.029999999,November,External,118
173-2013-14-All Students-Withdrawal-External,173,2013-14,All Students,Withdrawal,0.029999999,0.050000001,November,External,118
173-2013-14-All Students-Net Cumulative-External,173,2013-14,All Students,Net Cumulative,-0.029999999,-0.02,November,External,118
174-2013-14-All Students-Entry-External,174,2013-14,All Students,Entry,0.02,0.129999995,April,External,342
174-2013-14-All Students-Withdrawal-External,174,2013-14,All Students,Withdrawal,0.090000004,0.100000001,April,External,342
174-2013-14-All Students-Net Cumulative-External,174,2013-14,All Students,Net Cumulative,-0.07,0.029999999,April,External,342
174-2013-14-All Students-Entry-External,174,2013-14,All Students,Entry,0.02,0.079999998,December,External,342
174-2013-14-All Students-Withdrawal-External,174,2013-14,All Students,Withdrawal,0.029999999,0.050000001,December,External,342
174-2013-14-All Students-Net Cumulative-External,174,2013-14,All Students,Net Cumulative,-0.01,0.039999999,December,External,342
174-2013-14-All Students-Entry-External,174,2013-14,All Students,Entry,0.02,0.109999999,February,External,342
174-2013-14-All Students-Withdrawal-External,174,2013-14,All Students,Withdrawal,0.059999999,0.07,February,External,342
174-2013-14-All Students-Net Cumulative-External,174,2013-14,All Students,Net Cumulative,-0.039999999,0.039999999,February,External,342
174-2013-14-All Students-Entry-External,174,2013-14,All Students,Entry,0.02,0.100000001,January,External,342
174-2013-14-All Students-Withdrawal-External,174,2013-14,All Students,Withdrawal,0.050000001,0.059999999,January,External,342
174-2013-14-All Students-Net Cumulative-External,174,2013-14,All Students,Net Cumulative,-0.029999999,0.029999999,January,External,342
174-2013-14-All Students-Entry-External,174,2013-14,All Students,Entry,0.02,0.119999997,March,External,342
174-2013-14-All Students-Withdrawal-External,174,2013-14,All Students,Withdrawal,0.079999998,0.079999998,March,External,342
174-2013-14-All Students-Net Cumulative-External,174,2013-14,All Students,Net Cumulative,-0.050000001,0.029999999,March,External,342
174-2013-14-All Students-Entry-External,174,2013-14,All Students,Entry,0.02,0.140000001,May,External,342
174-2013-14-All Students-Withdrawal-External,174,2013-14,All Students,Withdrawal,0.730000019,0.119999997,May,External,342
174-2013-14-All Students-Net Cumulative-External,174,2013-14,All Students,Net Cumulative,-0.709999979,0.02,May,External,342
174-2013-14-All Students-Entry-External,174,2013-14,All Students,Entry,0.02,0.079999998,November,External,342
174-2013-14-All Students-Withdrawal-External,174,2013-14,All Students,Withdrawal,0.029999999,0.039999999,November,External,342
174-2013-14-All Students-Net Cumulative-External,174,2013-14,All Students,Net Cumulative,-0.01,0.039999999,November,External,342
174-2013-14-All Students-Entry-External,174,2013-14,All Students,Entry,0.02,0.07,October,External,342
174-2013-14-All Students-Withdrawal-External,174,2013-14,All Students,Withdrawal,0.02,0.029999999,October,External,342
174-2013-14-All Students-Net Cumulative-External,174,2013-14,All Students,Net Cumulative,0,0.039999999,October,External,342
175-2013-14-All Students-Entry-External,175,2013-14,All Students,Entry,0,,April,External,205
175-2013-14-All Students-Withdrawal-External,175,2013-14,All Students,Withdrawal,1,,April,External,205
175-2013-14-All Students-Net Cumulative-External,175,2013-14,All Students,Net Cumulative,-1,,April,External,205
175-2013-14-All Students-Entry-External,175,2013-14,All Students,Entry,0,,December,External,205
175-2013-14-All Students-Withdrawal-External,175,2013-14,All Students,Withdrawal,1,,December,External,205
175-2013-14-All Students-Net Cumulative-External,175,2013-14,All Students,Net Cumulative,-1,,December,External,205
175-2013-14-All Students-Entry-External,175,2013-14,All Students,Entry,0,,February,External,205
175-2013-14-All Students-Withdrawal-External,175,2013-14,All Students,Withdrawal,1,,February,External,205
