Key,LEA Code,School_Code,school name,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize,,,,,,,
205-2013-14-Female-In-Seat Attendance Rate-External,1,205,Barnard ES,2013-14,Female,In-Seat Attendance Rate,95,93,External,341,,,,,,,
205-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,205,Barnard ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,95,93,External,623,,,,,,,
205-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,205,Barnard ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,95,95,External,277,,,,,,,
205-2013-14-Limited English Proficiency-In-Seat Attendance Rate-External,1,205,Barnard ES,2013-14,Limited English Proficiency,In-Seat Attendance Rate,95,94,External,12,,,,,,,
205-2013-14-Male-In-Seat Attendance Rate-External,1,205,Barnard ES,2013-14,Male,In-Seat Attendance Rate,95,93,External,336,,,,,,,
205-2013-14-Multiracial-In-Seat Attendance Rate-External,1,205,Barnard ES,2013-14,Multiracial,In-Seat Attendance Rate,94,95,External,19,,,,,,,
205-2013-14-Special Education-In-Seat Attendance Rate-External,1,205,Barnard ES,2013-14,Special Education,In-Seat Attendance Rate,95,92,External,92,,,,,,,
205-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,205,Barnard ES,2013-14,White non-Hispanic,In-Seat Attendance Rate,95,96,External,16,,,,,,,
206-2013-14-All Students-In-Seat Attendance Rate-External,1,206,Beers ES,2013-14,All Students,In-Seat Attendance Rate,95,93,External,495,,,,,,,
206-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,206,Beers ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,95,92,External,484,,,,,,,
206-2013-14-Female-In-Seat Attendance Rate-External,1,206,Beers ES,2013-14,Female,In-Seat Attendance Rate,94,93,External,235,,,,,,,
206-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,206,Beers ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,95,93,External,459,,,,,,,
206-2013-14-Male-In-Seat Attendance Rate-External,1,206,Beers ES,2013-14,Male,In-Seat Attendance Rate,95,93,External,258,,,,,,,
206-2013-14-Special Education-In-Seat Attendance Rate-External,1,206,Beers ES,2013-14,Special Education,In-Seat Attendance Rate,95,92,External,108,,,,,,,
212-2013-14-All Students-In-Seat Attendance Rate-External,1,212,Brent ES,2013-14,All Students,In-Seat Attendance Rate,96,93,External,381,,,,,,,
212-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,212,Brent ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,95,92,External,75,,,,,,,
212-2013-14-Female-In-Seat Attendance Rate-External,1,212,Brent ES,2013-14,Female,In-Seat Attendance Rate,96,93,External,189,,,,,,,
212-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,212,Brent ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,94,93,External,41,,,,,,,
212-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,212,Brent ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,95,95,External,28,,,,,,,
212-2013-14-Male-In-Seat Attendance Rate-External,1,212,Brent ES,2013-14,Male,In-Seat Attendance Rate,96,93,External,192,,,,,,,
212-2013-14-Multiracial-In-Seat Attendance Rate-External,1,212,Brent ES,2013-14,Multiracial,In-Seat Attendance Rate,95,95,External,24,,,,,,,
212-2013-14-Special Education-In-Seat Attendance Rate-External,1,212,Brent ES,2013-14,Special Education,In-Seat Attendance Rate,95,92,External,34,,,,,,,
212-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,212,Brent ES,2013-14,White non-Hispanic,In-Seat Attendance Rate,96,96,External,243,,,,,,,
213-2013-14-All Students-In-Seat Attendance Rate-External,1,213,Brightwood EC,2013-14,All Students,In-Seat Attendance Rate,95,93,External,774,,,,,,,
213-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,213,Brightwood EC,2013-14,Black non-Hispanic,In-Seat Attendance Rate,95,92,External,243,,,,,,,
213-2013-14-Female-In-Seat Attendance Rate-External,1,213,Brightwood EC,2013-14,Female,In-Seat Attendance Rate,95,93,External,406,,,,,,,
213-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,213,Brightwood EC,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,95,92,External,674,,,,,,,
213-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,213,Brightwood EC,2013-14,Hispanic / Latino,In-Seat Attendance Rate,95,95,External,513,,,,,,,
213-2013-14-Limited English Proficiency-In-Seat Attendance Rate-External,1,213,Brightwood EC,2013-14,Limited English Proficiency,In-Seat Attendance Rate,96,94,External,41,,,,,,,
213-2013-14-Male-In-Seat Attendance Rate-External,1,213,Brightwood EC,2013-14,Male,In-Seat Attendance Rate,95,93,External,367,,,,,,,
213-2013-14-Special Education-In-Seat Attendance Rate-External,1,213,Brightwood EC,2013-14,Special Education,In-Seat Attendance Rate,94,92,External,74,,,,,,,
220-2013-14-All Students-In-Seat Attendance Rate-External,1,220,Burroughs EC,2013-14,All Students,In-Seat Attendance Rate,95,93,External,412,,,,,,,
220-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,220,Burroughs EC,2013-14,Black non-Hispanic,In-Seat Attendance Rate,95,92,External,366,,,,,,,
220-2013-14-Female-In-Seat Attendance Rate-External,1,220,Burroughs EC,2013-14,Female,In-Seat Attendance Rate,95,93,External,181,,,,,,,
220-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,220,Burroughs EC,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,95,92,External,359,,,,,,,
220-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,220,Burroughs EC,2013-14,Hispanic / Latino,In-Seat Attendance Rate,96,95,External,40,,,,,,,
220-2013-14-Male-In-Seat Attendance Rate-External,1,220,Burroughs EC,2013-14,Male,In-Seat Attendance Rate,95,93,External,231,,,,,,,
220-2013-14-Special Education-In-Seat Attendance Rate-External,1,220,Burroughs EC,2013-14,Special Education,In-Seat Attendance Rate,94,92,External,100,,,,,,,
221-2013-14-All Students-In-Seat Attendance Rate-External,1,221,Burrville ES,2013-14,All Students,In-Seat Attendance Rate,92,93,External,404,,,,,,,
221-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,221,Burrville ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,93,92,External,400,,,,,,,
221-2013-14-Female-In-Seat Attendance Rate-External,1,221,Burrville ES,2013-14,Female,In-Seat Attendance Rate,93,93,External,191,,,,,,,
221-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,221,Burrville ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,93,93,External,382,,,,,,,
221-2013-14-Male-In-Seat Attendance Rate-External,1,221,Burrville ES,2013-14,Male,In-Seat Attendance Rate,92,93,External,213,,,,,,,
221-2013-14-Special Education-In-Seat Attendance Rate-External,1,221,Burrville ES,2013-14,Special Education,In-Seat Attendance Rate,90,92,External,31,,,,,,,
224-2013-14-All Students-In-Seat Attendance Rate-External,1,224,Cleveland ES,2013-14,All Students,In-Seat Attendance Rate,95,93,External,329,,,,,,,
224-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,224,Cleveland ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,94,92,External,225,,,,,,,
224-2013-14-Female-In-Seat Attendance Rate-External,1,224,Cleveland ES,2013-14,Female,In-Seat Attendance Rate,95,93,External,162,,,,,,,
224-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,224,Cleveland ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,95,93,External,315,,,,,,,
224-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,224,Cleveland ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,96,95,External,90,,,,,,,
224-2013-14-Male-In-Seat Attendance Rate-External,1,224,Cleveland ES,2013-14,Male,In-Seat Attendance Rate,95,93,External,165,,,,,,,
224-2013-14-Special Education-In-Seat Attendance Rate-External,1,224,Cleveland ES,2013-14,Special Education,In-Seat Attendance Rate,94,92,External,29,,,,,,,
227-2013-14-All Students-In-Seat Attendance Rate-External,1,227,H D Cooke ES,2013-14,All Students,In-Seat Attendance Rate,93,93,External,470,,,,,,,
227-2013-14-Asian-In-Seat Attendance Rate-External,1,227,H D Cooke ES,2013-14,Asian,In-Seat Attendance Rate,92,96,External,12,,,,,,,
227-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,227,H D Cooke ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,92,92,External,146,,,,,,,
227-2013-14-Female-In-Seat Attendance Rate-External,1,227,H D Cooke ES,2013-14,Female,In-Seat Attendance Rate,93,93,External,225,,,,,,,
227-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,227,H D Cooke ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,93,93,External,427,,,,,,,
227-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,227,H D Cooke ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,93,95,External,297,,,,,,,
227-2013-14-Male-In-Seat Attendance Rate-External,1,227,H D Cooke ES,2013-14,Male,In-Seat Attendance Rate,93,93,External,243,,,,,,,
227-2013-14-Special Education-In-Seat Attendance Rate-External,1,227,H D Cooke ES,2013-14,Special Education,In-Seat Attendance Rate,92,92,External,46,,,,,,,
227-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,227,H D Cooke ES,2013-14,White non-Hispanic,In-Seat Attendance Rate,96,96,External,10,,,,,,,
231-2013-14-All Students-In-Seat Attendance Rate-External,1,231,Drew ES,2013-14,All Students,In-Seat Attendance Rate,91,93,External,223,,,,,,,
231-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,231,Drew ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,91,92,External,219,,,,,,,
231-2013-14-Female-In-Seat Attendance Rate-External,1,231,Drew ES,2013-14,Female,In-Seat Attendance Rate,91,93,External,101,,,,,,,
231-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,231,Drew ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,91,93,External,202,,,,,,,
231-2013-14-Male-In-Seat Attendance Rate-External,1,231,Drew ES,2013-14,Male,In-Seat Attendance Rate,92,93,External,122,,,,,,,
231-2013-14-Special Education-In-Seat Attendance Rate-External,1,231,Drew ES,2013-14,Special Education,In-Seat Attendance Rate,92,92,External,37,,,,,,,
232-2013-14-All Students-In-Seat Attendance Rate-External,1,232,Eaton ES,2013-14,All Students,In-Seat Attendance Rate,97,94,External,494,,,,,,,
232-2013-14-Asian-In-Seat Attendance Rate-External,1,232,Eaton ES,2013-14,Asian,In-Seat Attendance Rate,98,97,External,27,,,,,,,
232-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,232,Eaton ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,97,93,External,143,,,,,,,
232-2013-14-Female-In-Seat Attendance Rate-External,1,232,Eaton ES,2013-14,Female,In-Seat Attendance Rate,97,94,External,248,,,,,,,
232-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,232,Eaton ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,96,93,External,83,,,,,,,
232-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,232,Eaton ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,97,95,External,67,,,,,,,
232-2013-14-Male-In-Seat Attendance Rate-External,1,232,Eaton ES,2013-14,Male,In-Seat Attendance Rate,97,94,External,243,,,,,,,
232-2013-14-Multiracial-In-Seat Attendance Rate-External,1,232,Eaton ES,2013-14,Multiracial,In-Seat Attendance Rate,97,96,External,40,,,,,,,
232-2013-14-Special Education-In-Seat Attendance Rate-External,1,232,Eaton ES,2013-14,Special Education,In-Seat Attendance Rate,97,93,External,38,,,,,,,
232-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,232,Eaton ES,2013-14,White non-Hispanic,In-Seat Attendance Rate,97,96,External,213,,,,,,,
238-2013-14-All Students-In-Seat Attendance Rate-External,1,238,Garfield ES,2013-14,All Students,In-Seat Attendance Rate,96,93,External,320,,,,,,,
238-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,238,Garfield ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,96,92,External,318,,,,,,,
238-2013-14-Female-In-Seat Attendance Rate-External,1,238,Garfield ES,2013-14,Female,In-Seat Attendance Rate,97,93,External,162,,,,,,,
238-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,238,Garfield ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,96,93,External,297,,,,,,,
238-2013-14-Male-In-Seat Attendance Rate-External,1,238,Garfield ES,2013-14,Male,In-Seat Attendance Rate,96,93,External,158,,,,,,,
238-2013-14-Special Education-In-Seat Attendance Rate-External,1,238,Garfield ES,2013-14,Special Education,In-Seat Attendance Rate,97,92,External,35,,,,,,,
239-2013-14-All Students-In-Seat Attendance Rate-External,1,239,Garrison ES,2013-14,All Students,In-Seat Attendance Rate,92,93,External,349,,,,,,,
239-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,239,Garrison ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,91,92,External,241,,,,,,,
239-2013-14-Female-In-Seat Attendance Rate-External,1,239,Garrison ES,2013-14,Female,In-Seat Attendance Rate,93,93,External,149,,,,,,,
239-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,239,Garrison ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,92,93,External,314,,,,,,,
239-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,239,Garrison ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,94,95,External,70,,,,,,,
239-2013-14-Limited English Proficiency-In-Seat Attendance Rate-External,1,239,Garrison ES,2013-14,Limited English Proficiency,In-Seat Attendance Rate,93,94,External,11,,,,,,,
239-2013-14-Male-In-Seat Attendance Rate-External,1,239,Garrison ES,2013-14,Male,In-Seat Attendance Rate,92,93,External,198,,,,,,,
239-2013-14-Special Education-In-Seat Attendance Rate-External,1,239,Garrison ES,2013-14,Special Education,In-Seat Attendance Rate,91,92,External,92,,,,,,,
239-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,239,Garrison ES,2013-14,White non-Hispanic,In-Seat Attendance Rate,95,96,External,22,,,,,,,
246-2013-14-All Students-In-Seat Attendance Rate-External,1,246,Hardy MS,2013-14,All Students,In-Seat Attendance Rate,97,92,External,446,,,,,,,
246-2013-14-Asian-In-Seat Attendance Rate-External,1,246,Hardy MS,2013-14,Asian,In-Seat Attendance Rate,98,97,External,34,,,,,,,
246-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,246,Hardy MS,2013-14,Black non-Hispanic,In-Seat Attendance Rate,97,91,External,273,,,,,,,
246-2013-14-Female-In-Seat Attendance Rate-External,1,246,Hardy MS,2013-14,Female,In-Seat Attendance Rate,97,92,External,222,,,,,,,
246-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,246,Hardy MS,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,97,92,External,216,,,,,,,
246-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,246,Hardy MS,2013-14,Hispanic / Latino,In-Seat Attendance Rate,98,95,External,66,,,,,,,
246-2013-14-Male-In-Seat Attendance Rate-External,1,246,Hardy MS,2013-14,Male,In-Seat Attendance Rate,97,92,External,224,,,,,,,
246-2013-14-Multiracial-In-Seat Attendance Rate-External,1,246,Hardy MS,2013-14,Multiracial,In-Seat Attendance Rate,97,94,External,10,,,,,,,
246-2013-14-Special Education-In-Seat Attendance Rate-External,1,246,Hardy MS,2013-14,Special Education,In-Seat Attendance Rate,96,90,External,57,,,,,,,
246-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,246,Hardy MS,2013-14,White non-Hispanic,In-Seat Attendance Rate,97,95,External,60,,,,,,,
247-2013-14-All Students-In-Seat Attendance Rate-External,1,247,C W  Harris ES,2013-14,All Students,In-Seat Attendance Rate,90,93,External,333,,,,,,,
247-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,247,C W  Harris ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,90,92,External,329,,,,,,,
247-2013-14-Female-In-Seat Attendance Rate-External,1,247,C W  Harris ES,2013-14,Female,In-Seat Attendance Rate,91,93,External,161,,,,,,,
247-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,247,C W  Harris ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,90,93,External,310,,,,,,,
247-2013-14-Male-In-Seat Attendance Rate-External,1,247,C W  Harris ES,2013-14,Male,In-Seat Attendance Rate,89,93,External,172,,,,,,,
247-2013-14-Special Education-In-Seat Attendance Rate-External,1,247,C W  Harris ES,2013-14,Special Education,In-Seat Attendance Rate,89,92,External,62,,,,,,,
249-2013-14-All Students-In-Seat Attendance Rate-External,1,249,Hendley ES,2013-14,All Students,In-Seat Attendance Rate,94,93,External,698,,,,,,,
249-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,249,Hendley ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,94,92,External,683,,,,,,,
249-2013-14-Female-In-Seat Attendance Rate-External,1,249,Hendley ES,2013-14,Female,In-Seat Attendance Rate,95,93,External,360,,,,,,,
249-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,249,Hendley ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,94,93,External,648,,,,,,,
249-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,249,Hendley ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,95,95,External,14,,,,,,,
249-2013-14-Male-In-Seat Attendance Rate-External,1,249,Hendley ES,2013-14,Male,In-Seat Attendance Rate,93,93,External,337,,,,,,,
249-2013-14-Special Education-In-Seat Attendance Rate-External,1,249,Hendley ES,2013-14,Special Education,In-Seat Attendance Rate,94,92,External,96,,,,,,,
251-2013-14-All Students-In-Seat Attendance Rate-External,1,251,Houston ES,2013-14,All Students,In-Seat Attendance Rate,92,93,External,351,,,,,,,
251-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,251,Houston ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,92,92,External,337,,,,,,,
251-2013-14-Female-In-Seat Attendance Rate-External,1,251,Houston ES,2013-14,Female,In-Seat Attendance Rate,92,93,External,167,,,,,,,
251-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,251,Houston ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,92,93,External,314,,,,,,,
251-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,251,Houston ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,97,95,External,11,,,,,,,
251-2013-14-Male-In-Seat Attendance Rate-External,1,251,Houston ES,2013-14,Male,In-Seat Attendance Rate,92,93,External,183,,,,,,,
251-2013-14-Special Education-In-Seat Attendance Rate-External,1,251,Houston ES,2013-14,Special Education,In-Seat Attendance Rate,89,92,External,47,,,,,,,
252-2013-14-All Students-In-Seat Attendance Rate-External,1,252,Hyde Addison ES,2013-14,All Students,In-Seat Attendance Rate,96,94,External,376,,,,,,,
252-2013-14-Asian-In-Seat Attendance Rate-External,1,252,Hyde Addison ES,2013-14,Asian,In-Seat Attendance Rate,96,97,External,25,,,,,,,
252-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,252,Hyde Addison ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,96,93,External,137,,,,,,,
252-2013-14-Female-In-Seat Attendance Rate-External,1,252,Hyde Addison ES,2013-14,Female,In-Seat Attendance Rate,96,94,External,173,,,,,,,
252-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,252,Hyde Addison ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,96,93,External,57,,,,,,,
252-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,252,Hyde Addison ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,96,95,External,31,,,,,,,
252-2013-14-Male-In-Seat Attendance Rate-External,1,252,Hyde Addison ES,2013-14,Male,In-Seat Attendance Rate,96,94,External,203,,,,,,,
252-2013-14-Special Education-In-Seat Attendance Rate-External,1,252,Hyde Addison ES,2013-14,Special Education,In-Seat Attendance Rate,95,93,External,33,,,,,,,
252-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,252,Hyde Addison ES,2013-14,White non-Hispanic,In-Seat Attendance Rate,96,96,External,182,,,,,,,
254-2013-14-All Students-In-Seat Attendance Rate-External,1,254,Janney ES,2013-14,All Students,In-Seat Attendance Rate,97,94,External,671,,,,,,,
254-2013-14-Asian-In-Seat Attendance Rate-External,1,254,Janney ES,2013-14,Asian,In-Seat Attendance Rate,98,97,External,26,,,,,,,
254-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,254,Janney ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,97,93,External,57,,,,,,,
254-2013-14-Female-In-Seat Attendance Rate-External,1,254,Janney ES,2013-14,Female,In-Seat Attendance Rate,97,94,External,319,,,,,,,
254-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,254,Janney ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,96,93,External,23,,,,,,,
254-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,254,Janney ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,97,95,External,64,,,,,,,
254-2013-14-Male-In-Seat Attendance Rate-External,1,254,Janney ES,2013-14,Male,In-Seat Attendance Rate,97,94,External,350,,,,,,,
254-2013-14-Multiracial-In-Seat Attendance Rate-External,1,254,Janney ES,2013-14,Multiracial,In-Seat Attendance Rate,96,96,External,50,,,,,,,
254-2013-14-Special Education-In-Seat Attendance Rate-External,1,254,Janney ES,2013-14,Special Education,In-Seat Attendance Rate,96,93,External,37,,,,,,,
254-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,254,Janney ES,2013-14,White non-Hispanic,In-Seat Attendance Rate,97,96,External,471,,,,,,,
257-2013-14-All Students-In-Seat Attendance Rate-External,1,257,Ketcham ES,2013-14,All Students,In-Seat Attendance Rate,92,93,External,376,,,,,,,
257-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,257,Ketcham ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,92,92,External,371,,,,,,,
257-2013-14-Female-In-Seat Attendance Rate-External,1,257,Ketcham ES,2013-14,Female,In-Seat Attendance Rate,92,93,External,173,,,,,,,
257-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,257,Ketcham ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,92,93,External,346,,,,,,,
257-2013-14-Male-In-Seat Attendance Rate-External,1,257,Ketcham ES,2013-14,Male,In-Seat Attendance Rate,92,93,External,203,,,,,,,
257-2013-14-Special Education-In-Seat Attendance Rate-External,1,257,Ketcham ES,2013-14,Special Education,In-Seat Attendance Rate,93,92,External,31,,,,,,,
258-2013-14-All Students-In-Seat Attendance Rate-External,1,258,Hearst ES,2013-14,All Students,In-Seat Attendance Rate,96,94,External,319,,,,,,,
258-2013-14-Asian-In-Seat Attendance Rate-External,1,258,Hearst ES,2013-14,Asian,In-Seat Attendance Rate,95,97,External,13,,,,,,,
258-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,258,Hearst ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,96,93,External,171,,,,,,,
258-2013-14-Female-In-Seat Attendance Rate-External,1,258,Hearst ES,2013-14,Female,In-Seat Attendance Rate,96,94,External,167,,,,,,,
258-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,258,Hearst ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,94,93,External,108,,,,,,,
258-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,258,Hearst ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,95,95,External,20,,,,,,,
258-2013-14-Male-In-Seat Attendance Rate-External,1,258,Hearst ES,2013-14,Male,In-Seat Attendance Rate,96,94,External,152,,,,,,,
258-2013-14-Special Education-In-Seat Attendance Rate-External,1,258,Hearst ES,2013-14,Special Education,In-Seat Attendance Rate,94,93,External,27,,,,,,,
258-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,258,Hearst ES,2013-14,White non-Hispanic,In-Seat Attendance Rate,96,96,External,100,,,,,,,
259-2013-14-All Students-In-Seat Attendance Rate-External,1,259,Kimball ES,2013-14,All Students,In-Seat Attendance Rate,91,93,External,402,,,,,,,
259-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,259,Kimball ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,91,92,External,392,,,,,,,
259-2013-14-Female-In-Seat Attendance Rate-External,1,259,Kimball ES,2013-14,Female,In-Seat Attendance Rate,91,93,External,194,,,,,,,
259-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,259,Kimball ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,91,93,External,366,,,,,,,
259-2013-14-Male-In-Seat Attendance Rate-External,1,259,Kimball ES,2013-14,Male,In-Seat Attendance Rate,91,93,External,208,,,,,,,
259-2013-14-Special Education-In-Seat Attendance Rate-External,1,259,Kimball ES,2013-14,Special Education,In-Seat Attendance Rate,89,92,External,42,,,,,,,
261-2013-14-All Students-In-Seat Attendance Rate-External,1,261,Lafayette ES,2013-14,All Students,In-Seat Attendance Rate,96,94,External,724,,,,,,,
261-2013-14-Asian-In-Seat Attendance Rate-External,1,261,Lafayette ES,2013-14,Asian,In-Seat Attendance Rate,97,97,External,19,,,,,,,
261-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,261,Lafayette ES,2013-14,Black non-Hispanic,In-Seat Attendance Rate,97,93,External,84,,,,,,,
261-2013-14-Female-In-Seat Attendance Rate-External,1,261,Lafayette ES,2013-14,Female,In-Seat Attendance Rate,96,94,External,344,,,,,,,
261-2013-14-Free or Reduced Price Lunch-In-Seat Attendance Rate-External,1,261,Lafayette ES,2013-14,Free or Reduced Price Lunch,In-Seat Attendance Rate,96,93,External,49,,,,,,,
261-2013-14-Hispanic / Latino-In-Seat Attendance Rate-External,1,261,Lafayette ES,2013-14,Hispanic / Latino,In-Seat Attendance Rate,96,95,External,43,,,,,,,
261-2013-14-Male-In-Seat Attendance Rate-External,1,261,Lafayette ES,2013-14,Male,In-Seat Attendance Rate,96,94,External,380,,,,,,,
261-2013-14-Multiracial-In-Seat Attendance Rate-External,1,261,Lafayette ES,2013-14,Multiracial,In-Seat Attendance Rate,97,96,External,54,,,,,,,
261-2013-14-Special Education-In-Seat Attendance Rate-External,1,261,Lafayette ES,2013-14,Special Education,In-Seat Attendance Rate,96,93,External,42,,,,,,,
261-2013-14-White non-Hispanic-In-Seat Attendance Rate-External,1,261,Lafayette ES,2013-14,White non-Hispanic,In-Seat Attendance Rate,96,96,External,524,,,,,,,
262-2013-14-All Students-In-Seat Attendance Rate-External,1,262,Langdon EC,2013-14,All Students,In-Seat Attendance Rate,93,93,External,526,,,,,,,
262-2013-14-Black non-Hispanic-In-Seat Attendance Rate-External,1,262,Langdon EC,2013-14,Black non-Hispanic,In-Seat Attendance Rate,93,92,External,475,,,,,,,
262-2013-14-Female-In-Seat Attendance Rate-External,1,262,Langdon EC,2013-14,Female,In-Seat Attendance Rate,94,93,External,260,,,,,,,
